index,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0,495.67,17.0,1,22,0,1,0.0,0.0,185.18,287.05,0.85,6.33,54.38,0.0,0.0,0.0,30.54,0.0,509.94
1,595.67,21.0,1,32,0,1,0.0,0.0,76.28,522.28,0.0,7.96,190.97,0.0,0.0,0.0,0.0,0.0,606.52
2,786.37,10.0,1,45,1,2,0.0,0.0,131.27,566.15,0.0,20.23,328.13,0.0,0.0,8.85,0.0,0.0,726.5
3,1142.63,10.0,1,41,0,2,0.0,0.0,307.49,926.55,0.0,8.08,351.38,0.0,0.0,0.0,5.05,0.0,1247.17
4,567.47,19.0,1,36,0,1,0.0,0.0,4.18,529.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.95
5,1395.72,10.0,1,32,0,1,0.0,0.0,312.89,952.31,0.57,237.55,684.85,0.0,0.0,1.15,0.0,0.0,1504.48
6,342.52,23.0,1,23,0,2,85.67,0.0,7.65,79.42,0.0,0.0,87.08,0.0,0.0,0.0,0.0,0.0,87.08
7,639.85,11.0,1,45,0,1,538.17,0.0,192.23,494.98,0.0,10.64,492.78,0.0,0.0,0.0,1.76,0.12,699.85
8,628.84,12.0,1,20,0,2,1394.37,0.0,11.6,263.21,0.0,0.37,116.02,0.0,0.0,0.0,0.0,0.0,275.19
9,399.53,11.0,0,51,1,1,0.0,0.0,74.51,327.09,0.0,5.73,6.29,0.0,0.0,0.0,0.0,0.0,407.33
10,410.85,21.0,1,32,1,1,0.0,0.0,20.33,350.09,0.0,0.0,221.99,0.0,0.0,0.0,0.0,0.0,370.42
11,657.51,19.0,1,21,0,2,0.0,0.0,51.14,617.41,0.0,0.0,363.01,0.0,0.0,0.0,0.0,0.0,668.55
12,619.61,17.0,1,34,0,1,0.0,0.0,89.09,267.28,0.0,2.48,18.15,0.0,0.0,0.0,0.0,0.0,358.85
13,274.56,10.0,1,38,1,4,313.28,0.0,62.41,101.65,0.0,0.0,29.38,0.0,0.0,0.0,0.0,0.0,164.06
14,178.05,11.0,0,54,0,1,186.14,0.0,52.68,95.24,0.0,38.22,74.52,0.0,0.0,0.0,0.0,0.0,186.14
15,110.77,23.0,1,20,0,1,97.42,0.0,7.57,90.9,0.0,0.0,47.81,0.0,0.0,0.0,1.59,0.63,101.32
16,281.94,14.0,0,30,1,1,0.0,0.0,56.26,159.61,0.0,16.3,36.11,0.0,0.0,0.0,0.0,0.0,232.17
17,380.62,16.0,0,38,0,1,357.43,0.0,102.74,260.73,0.0,12.2,314.04,0.0,0.0,0.0,0.0,0.0,375.66
18,272.25,11.0,1,29,0,1,0.0,0.0,32.31,176.1,0.0,0.0,10.27,0.0,0.0,0.0,0.0,0.0,208.41
19,250.15,11.0,1,27,0,1,272.5,0.0,7.47,257.89,0.0,0.95,96.97,0.0,0.0,0.0,0.0,0.0,266.31
20,594.61,23.0,0,38,0,1,218.81,0.0,10.83,174.79,0.0,0.0,178.51,0.0,0.0,0.46,0.0,0.0,186.08
21,713.41,21.0,0,58,1,3,423.27,0.0,57.43,100.32,0.0,0.47,131.19,0.0,0.0,0.0,0.0,0.27,158.76
22,496.54,13.0,1,39,0,1,0.0,0.0,43.83,411.19,0.0,0.0,81.94,0.0,0.0,0.0,0.0,0.0,455.02
23,763.53,10.0,1,30,0,1,0.0,0.0,23.37,400.34,0.0,0.0,52.98,0.0,0.0,0.0,0.66,0.0,424.38
24,328.35,14.0,1,42,0,1,0.0,0.0,94.3,201.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.77
25,236.38,11.0,1,28,0,1,228.34,0.0,64.82,186.97,0.0,0.22,172.45,0.0,0.0,0.0,0.0,0.0,252.01
